graph,size_parameter,n_nodes,n_edges,k,algorithm,seeds,selection_estimated_spread,estimated_spread,quality_ratio_to_greedy,runtime_seconds,spread_evaluations,transmitted_candidates
erdos_renyi,200,200,992,10,distributed_m2_q5k,12 0 135 131 102 22 56 98 157 117,61.69230769230769,44.8,0.8003573023671281,21.120288499980234,8508,100
erdos_renyi,200,200,992,10,distributed_m4_q1k,4 68 151 67 24 108 163 82 75 91,53.53846153846154,47.725,0.8526127735596248,2.378652100043837,2180,40
erdos_renyi,200,200,992,10,distributed_m4_q2k,17 12 100 50 18 91 0 144 43 61,60.38461538461539,50.675,0.9053148727110316,6.244320300000254,4000,80
erdos_renyi,200,200,992,10,distributed_m4_q5k,47 12 23 172 188 33 155 72 93 128,64.6923076923077,53.325,0.9526574363555159,13.603900799993426,7060,200
erdos_renyi,200,200,992,10,distributed_m8_q1k,47 182 1 128 157 175 26 91 20 165,59.53846153846154,50.7,0.905761500669942,2.615531599964015,2404,80
erdos_renyi,200,200,992,10,distributed_m8_q2k,20 99 67 185 18 23 135 77 54 167,60.53846153846154,48.575,0.8677981241625726,5.392717399983667,4044,160
erdos_renyi,200,200,992,10,distributed_m8_q5k,129 16 68 186 118 182 177 199 78 161,56.46153846153846,42.85,0.7655203215721305,5.755826300010085,4564,200
barabasi_albert,50,50,192,10,random,31 49 6 42 39 18 41 23 7 1,23.8,25.0,0.7418397626112759,0.0019005000358447433,1,0
barabasi_albert,50,50,192,10,degree,0 11 5 20 12 6 8 9 16 7,35.175,35.925,1.0660237388724034,0.002644799998961389,1,0
barabasi_albert,50,50,192,10,pagerank,20 5 11 28 6 0 33 19 16 7,34.675,35.425,1.051186943620178,0.0027460000128485262,1,0
barabasi_albert,50,50,192,10,greedy,0 11 20 48 5 30 33 17 19 9,33.975,33.7,1.0,0.9892561000306159,456,0
barabasi_albert,50,50,192,10,celf,0 20 11 3 8 5 16 29 12 35,33.4,33.7,1.0,0.2122716999729164,134,0
barabasi_albert,50,50,192,10,distributed_m2_q1k,0 11 9 19 7 20 6 5 41 31,34.61538461538461,33.975,1.008160237388724,0.34966019995044917,568,20
barabasi_albert,50,50,192,10,distributed_m2_q2k,0 4 11 20 6 18 8 19 13 3,34.76923076923077,33.225,0.9859050445103857,0.660061799979303,978,40
barabasi_albert,50,50,192,10,distributed_m2_q5k,0 7 11 34 14 20 29 28 19 16,34.76923076923077,33.7,1.0,0.7814144999720156,1108,50
barabasi_albert,50,50,192,10,distributed_m4_q1k,0 11 8 5 29 16 20 12 42 6,36.15384615384615,33.625,0.9977744807121661,0.40743849996943027,680,40
barabasi_albert,50,50,192,10,distributed_m4_q2k,0 20 11 45 38 18 14 9 33 10,33.76923076923077,32.3,0.9584569732937683,0.4867779999622144,798,50
barabasi_albert,50,50,192,10,distributed_m4_q5k,0 33 11 19 20 8 41 5 12 9,36.07692307692308,35.025,1.0393175074183976,0.5004905000096187,798,50
barabasi_albert,50,50,192,10,distributed_m8_q1k,0 48 10 24 11 5 16 37 22 20,31.23076923076923,31.325,0.9295252225519287,0.36976359999971464,646,50
barabasi_albert,50,50,192,10,distributed_m8_q2k,0 16 14 45 13 1 22 20 44 11,34.38461538461539,32.75,0.9718100890207715,0.36784560000523925,646,50
barabasi_albert,50,50,192,10,distributed_m8_q5k,0 18 28 32 44 14 11 20 27 1,33.53846153846154,30.45,0.9035608308605341,0.3456512999837287,646,50
barabasi_albert,100,100,768,10,random,11 88 19 40 22 97 77 62 60 73,34.375,33.15,0.7140549273021002,0.005202100030146539,1,0
barabasi_albert,100,100,768,10,degree,5 3 0 8 30 7 9 4 10 2,54.25,51.525,1.1098546042003232,0.008060800028033555,1,0
barabasi_albert,100,100,768,10,pagerank,48 30 9 2 50 70 45 36 57 1,40.95,39.125,0.8427571351642434,0.006337099999655038,1,0
barabasi_albert,100,100,768,10,greedy,5 0 3 32 4 54 26 34 24 97,51.625,46.425,1.0,5.548199500015471,956,0
barabasi_albert,100,100,768,10,celf,3 5 8 37 0 32 1 92 9 19,49.275,48.275,1.0398492191707054,1.0818043000181206,266,0
barabasi_albert,100,100,768,10,distributed_m2_q1k,5 9 0 3 8 47 53 90 88 30,51.76923076923077,47.95,1.0328486806677437,1.8101202000398189,1068,20
barabasi_albert,100,100,768,10,distributed_m2_q2k,5 0 3 7 53 62 2 32 16 82,52.0,47.55,1.024232633279483,4.039195800025482,1978,40
barabasi_albert,100,100,768,10,distributed_m2_q5k,5 16 0 57 84 29 72 78 38 3,54.53846153846154,44.3,0.9542272482498654,7.406403200002387,3508,100
barabasi_albert,100,100,768,10,distributed_m4_q1k,5 0 4 64 30 36 92 2 10 38,54.53846153846154,45.275,0.9752288637587507,1.817330700054299,1180,40
barabasi_albert,100,100,768,10,distributed_m4_q2k,5 30 8 96 9 50 99 26 16 77,53.53846153846154,43.875,0.9450726978998385,3.4127902999753132,2000,80
barabasi_albert,100,100,768,10,distributed_m4_q5k,3 5 37 6 22 86 30 96 16 46,52.46153846153846,41.925,0.9030694668820678,3.918922399985604,2260,100
barabasi_albert,100,100,768,10,distributed_m8_q1k,3 5 0 70 30 83 8 64 67 11,53.53846153846154,46.85,1.009154550350027,2.2217622000025585,1404,80
barabasi_albert,100,100,768,10,distributed_m8_q2k,5 25 59 96 7 56 97 41 62 3,48.38461538461539,41.925,0.9030694668820678,2.3848516999860294,1640,100
barabasi_albert,100,100,768,10,distributed_m8_q5k,5 66 45 59 15 79 8 34 3 70,51.61538461538461,41.475,0.8933764135702748,2.4741030000150204,1640,100
barabasi_albert,200,200,1568,10,random,46 175 110 157 124 148 11 0 101 22,56.1,52.225,0.726356050069541,0.009142399998381734,1,0
barabasi_albert,200,200,1568,10,degree,0 5 3 9 12 20 10 7 8 17,85.175,83.8,1.1655076495132126,0.013523300003726035,1,0
barabasi_albert,200,200,1568,10,pagerank,46 163 52 72 177 84 171 53 50 100,59.8,51.55,0.7169680111265646,0.008991000009700656,1,0
barabasi_albert,200,200,1568,10,greedy,5 0 48 35 52 26 17 16 2 9,82.975,71.9,1.0,16.598102000018116,1956,0
barabasi_albert,200,200,1568,10,celf,12 0 27 5 124 17 18 11 7 52,74.325,73.375,1.0205146036161334,2.58995120000327,448,0
barabasi_albert,200,200,1568,10,distributed_m2_q1k,0 12 4 82 3 16 99 5 19 72,82.53846153846153,72.2,1.004172461752434,5.340617400011979,2068,20
barabasi_albert,200,200,1568,10,distributed_m2_q2k,0 7 8 36 9 140 3 53 54 10,82.6923076923077,75.775,1.053894297635605,12.351326600008179,3978,40
barabasi_albert,200,200,1568,10,distributed_m2_q5k,0 17 12 72 9 109 15 23 74 7,82.15384615384616,68.575,0.9537552155771905,33.462811500008684,8508,100
barabasi_albert,200,200,1568,10,distributed_m4_q1k,0 7 16 5 3 24 82 31 12 20,85.07692307692308,77.225,1.0740611961057023,5.60522879997734,2180,40
barabasi_albert,200,200,1568,10,distributed_m4_q2k,52 0 103 9 49 58 2 16 97 3,77.76923076923077,67.5,0.9388038942976356,12.623868099995889,4000,80
barabasi_albert,200,200,1568,10,distributed_m4_q5k,0 5 12 7 86 132 53 111 137 19,77.84615384615384,68.5,0.952712100139082,26.27778970001964,7060,200
barabasi_albert,200,200,1568,10,distributed_m8_q1k,5 20 3 0 78 127 12 10 2 49,84.38461538461539,75.9,1.055632823365786,5.7887174999923445,2404,80
barabasi_albert,200,200,1568,10,distributed_m8_q2k,0 17 13 5 67 7 125 72 93 119,83.38461538461539,66.425,0.9238525730180805,11.75850110000465,4044,160
barabasi_albert,200,200,1568,10,distributed_m8_q5k,0 48 21 148 52 71 131 192 67 17,70.6923076923077,57.85,0.8045897079276773,12.61245489999419,4564,200
watts_strogatz,50,50,200,10,random,10 16 47 18 42 44 27 1 37 32,25.0,25.45,0.9807321772639692,0.0021704999962821603,1,0
watts_strogatz,50,50,200,10,degree,14 19 28 38 9 13 43 44 34 47,27.4,26.0,1.001926782273603,0.0022400000016205013,1,0
watts_strogatz,50,50,200,10,pagerank,34 37 47 8 10 31 28 32 38 5,23.1,22.6,0.8709055876685935,0.0018453000229783356,1,0
watts_strogatz,50,50,200,10,greedy,14 44 39 0 30 22 4 17 13 38,27.925,25.95,1.0,0.7298190000001341,456,0
watts_strogatz,50,50,200,10,celf,14 19 5 37 29 31 34 49 24 46,27.525,26.15,1.0077071290944124,0.16805640002712607,126,0
watts_strogatz,50,50,200,10,distributed_m2_q1k,14 44 39 0 21 1 9 31 20 37,28.615384615384617,26.725,1.029865125240848,0.32096280000405386,568,20
watts_strogatz,50,50,200,10,distributed_m2_q2k,27 5 19 33 18 11 45 25 43 10,27.846153846153847,24.625,0.9489402697495183,0.6553687999839894,978,40
watts_strogatz,50,50,200,10,distributed_m2_q5k,43 9 28 3 33 35 41 49 22 42,29.692307692307693,24.875,0.9585741811175338,0.8117800999898463,1108,50
watts_strogatz,50,50,200,10,distributed_m4_q1k,45 27 5 37 15 21 20 28 11 0,27.076923076923077,24.275,0.9354527938342967,0.327431199955754,680,40
watts_strogatz,50,50,200,10,distributed_m4_q2k,30 0 32 13 19 22 39 29 18 25,28.923076923076923,24.35,0.9383429672447015,0.3753038999857381,798,50
watts_strogatz,50,50,200,10,distributed_m4_q5k,32 6 24 44 48 13 26 38 8 30,29.076923076923077,26.0,1.001926782273603,0.40722290001576766,798,50
watts_strogatz,50,50,200,10,distributed_m8_q1k,9 23 19 34 0 2 38 26 31 4,28.692307692307693,26.6,1.02504816955684,0.3053446999983862,646,50
watts_strogatz,50,50,200,10,distributed_m8_q2k,19 5 23 38 34 39 46 10 49 7,28.307692307692307,25.125,0.9682080924855492,0.29227589996298775,646,50
watts_strogatz,50,50,200,10,distributed_m8_q5k,19 40 28 22 7 48 35 11 3 8,28.846153846153847,26.15,1.0077071290944124,0.3110327000031248,646,50
watts_strogatz,100,100,600,10,random,24 46 58 81 83 8 76 10 5 29,32.725,31.2,0.9142857142857143,0.00681400002213195,1,0
watts_strogatz,100,100,600,10,degree,46 35 11 64 85 8 75 57 98 48,36.3,37.125,1.0879120879120878,0.007516600016970187,1,0
watts_strogatz,100,100,600,10,pagerank,4 47 79 3 31 59 53 98 85 57,30.3,32.2,0.9435897435897437,0.0052693000179715455,1,0
watts_strogatz,100,100,600,10,greedy,92 46 81 71 27 49 62 57 20 11,36.1,34.125,1.0,2.717243699997198,956,0
watts_strogatz,100,100,600,10,celf,64 18 8 32 87 94 60 46 84 29,33.35,33.9,0.9934065934065933,0.624755600001663,280,0
watts_strogatz,100,100,600,10,distributed_m2_q1k,69 11 40 47 97 36 15 64 12 88,38.15384615384615,33.175,0.972161172161172,1.0219721000175923,1068,20
watts_strogatz,100,100,600,10,distributed_m2_q2k,6 58 72 80 35 52 0 66 42 60,39.53846153846154,33.475,0.980952380952381,2.5993027000222355,1978,40
watts_strogatz,100,100,600,10,distributed_m2_q5k,10 85 78 34 86 48 17 21 35 66,40.76923076923077,34.9,1.0227106227106226,5.851422000036109,3508,100
watts_strogatz,100,100,600,10,distributed_m4_q1k,48 11 78 63 89 12 32 55 93 98,36.30769230769231,34.2,1.0021978021978022,1.1456548999994993,1180,40
watts_strogatz,100,100,600,10,distributed_m4_q2k,11 0 63 73 48 41 10 88 18 55,40.53846153846154,36.65,1.073992673992674,2.3956619999953546,2000,80
watts_strogatz,100,100,600,10,distributed_m4_q5k,64 46 73 11 35 48 91 10 57 75,43.15384615384615,34.95,1.0241758241758243,2.5949101999867707,2260,100
watts_strogatz,100,100,600,10,distributed_m8_q1k,8 0 90 61 13 39 7 62 17 78,38.69230769230769,33.675,0.9868131868131867,1.150306699972134,1404,80
watts_strogatz,100,100,600,10,distributed_m8_q2k,14 81 72 61 57 88 8 38 46 52,41.15384615384615,34.95,1.0241758241758243,1.3833477000007406,1640,100
watts_strogatz,100,100,600,10,distributed_m8_q5k,11 0 3 39 68 18 90 89 46 78,40.69230769230769,34.425,1.0087912087912088,1.383336600032635,1640,100
watts_strogatz,200,200,1200,10,random,96 165 124 8 160 144 103 56 99 68,34.45,35.75,0.9079365079365079,0.004789499973412603,1,0
